availability_id,student_id
1,24
39,10
18,27
17,1
29,11
25,26
26,40
5,3
36,1
19,15
8,36
27,18
20,2
5,18
28,4
34,40
6,7
36,27
3,10
26,30
12,27
31,23
16,33
22,39
27,10
25,7
3,22
35,37
26,2
8,36
5,33
10,14
4,11
10,38
5,34
22,8
18,25
14,30
21,32
14,31
30,32
10,11
40,27
22,28
37,37
14,21
8,13
5,34
36,5
15,29
26,20
35,21
27,34
21,2
9,37
14,28
3,40
40,30
7,11
19,29
32,8
19,12
30,15
23,35
30,12
34,22
29,23
27,9
18,33
29,14
17,40
24,16
11,13
38,33
30,10
31,10
16,18
21,36
21,2
26,17
36,15
2,35
17,36
12,5
34,24
38,8
30,5
38,38
11,6
9,25
37,26
12,20
9,32
7,33
29,24
39,17
18,20
22,19
14,13
31,22
